Year,China,France,Germany,Hong Kong,Indonesia,Japan,Malaysia,Philippines,Thailand,United Kingdom,Vietnam,Grand Total
2016-08,254098,19941,35865,148520,332725,119655,259607,101353,225691,58511,97686,1653652
2016-09,212851,17980,34139,133789,310179,104219,248409,93800,206616,52207,85822,1500011
2016-10,210307,20294,37913,132063,319758,113949,256392,103821,218518,57141,88423,1558579
2016-11,217215,15333,29710,141271,300660,114281,257154,103938,218301,43361,90792,1532016
2016-12,257605,17134,33633,166616,365783,134886,299391,114681,263169,54309,106207,1813414
2017-01,296317,18160,32906,161089,308766,109393,259314,139796,244080,52431,98670,1720922
2017-02,248052,17305,33919,125406,288658,111631,256697,108201,234650,49213,95879,1569611
2017-03,243818,16911,34072,146329,339952,115925,276205,117380,269126,50101,102567,1712386
2017-04,255355,17361,31759,142400,333326,118514,272647,133850,260989,47300,99960,1713461
2017-05,236451,16048,28513,134341,325385,105735,275016,128774,248376,42505,99427,1640571
2017-06,264024,16589,30566,141704,337912,108320,283947,117232,254786,51530,111912,1718522
2017-07,311470,21433,40878,159223,340888,111469,281542,110029,253565,61786,118394,1810677
2017-08,283220,19516,37694,142150,342408,116346,286201,104415,236990,56939,103950,1729829
2017-09,246932,17726,37404,130902,327701,107075,262631,100054,229789,56360,95690,1612264
